epoch,step,train_acc,train_loss,val_AA,val_OA,val_kappa
0,0,,,0.2874999940395355,0.2874999940395355,0.23999999463558197
0,0,0.08749999850988388,2.8903167247772217,,,
1,1,,,0.512499988079071,0.512499988079071,0.47999998927116394
1,1,0.45625001192092896,2.332005739212036,,,
2,2,,,0.550000011920929,0.550000011920929,0.5199999809265137
2,2,0.71875,1.9251976013183594,,,
3,3,,,0.612500011920929,0.612500011920929,0.5866666436195374
3,3,0.8187500238418579,1.6414844989776611,,,
4,4,,,0.6625000238418579,0.6625000238418579,0.6399999856948853
4,4,0.856249988079071,1.4443520307540894,,,
5,5,,,0.699999988079071,0.699999988079071,0.6800000071525574
5,5,0.925000011920929,1.2654139995574951,,,
6,6,,,0.699999988079071,0.699999988079071,0.6800000071525574
6,6,0.925000011920929,1.149450659751892,,,
7,7,,,0.7250000238418579,0.7250000238418579,0.7066666483879089
7,7,0.9624999761581421,1.0171159505844116,,,
8,8,,,0.762499988079071,0.762499988079071,0.746666669845581
8,8,0.987500011920929,0.9019783139228821,,,
9,9,,,0.762499988079071,0.762499988079071,0.746666669845581
9,9,0.981249988079071,0.7969101071357727,,,
10,10,,,0.7749999761581421,0.7749999761581421,0.7599999904632568
10,10,0.981249988079071,0.7045007944107056,,,
11,11,,,0.7749999761581421,0.7749999761581421,0.7599999904632568
11,11,0.9937499761581421,0.6349679231643677,,,
12,12,,,0.7875000238418579,0.7875000238418579,0.7733333110809326
12,12,1.0,0.5538460612297058,,,
13,13,,,0.800000011920929,0.800000011920929,0.7866666913032532
13,13,1.0,0.4859389364719391,,,
14,14,,,0.800000011920929,0.800000011920929,0.7866666913032532
14,14,1.0,0.42932718992233276,,,
15,15,,,0.800000011920929,0.800000011920929,0.7866666913032532
15,15,1.0,0.3728482127189636,,,
16,16,,,0.800000011920929,0.800000011920929,0.7866666913032532
16,16,1.0,0.3236083388328552,,,
17,17,,,0.7875000238418579,0.7875000238418579,0.7733333110809326
17,17,1.0,0.2858958840370178,,,
18,18,,,0.800000011920929,0.800000011920929,0.7866666913032532
18,18,1.0,0.2474178820848465,,,
19,19,,,0.8125,0.8125,0.800000011920929
19,19,1.0,0.21294817328453064,,,
20,20,,,0.824999988079071,0.824999988079071,0.8133333325386047
20,20,1.0,0.18341073393821716,,,
21,21,,,0.8374999761581421,0.8374999761581421,0.8266666531562805
21,21,1.0,0.16419737040996552,,,
22,22,,,0.8374999761581421,0.8374999761581421,0.8266666531562805
22,22,1.0,0.14999158680438995,,,
23,23,,,0.8374999761581421,0.8374999761581421,0.8266666531562805
23,23,1.0,0.1300499141216278,,,
24,24,,,0.8374999761581421,0.8374999761581421,0.8266666531562805
24,24,1.0,0.11700983345508575,,,
25,25,,,0.8374999761581421,0.8374999761581421,0.8266666531562805
25,25,1.0,0.10859858989715576,,,
26,26,,,0.8374999761581421,0.8374999761581421,0.8266666531562805
26,26,1.0,0.09418612718582153,,,
27,27,,,0.8374999761581421,0.8374999761581421,0.8266666531562805
27,27,1.0,0.08720973134040833,,,
28,28,,,0.8374999761581421,0.8374999761581421,0.8266666531562805
28,28,1.0,0.07838331162929535,,,
29,29,,,0.8374999761581421,0.8374999761581421,0.8266666531562805
29,29,1.0,0.07326556742191315,,,
30,30,,,0.8374999761581421,0.8374999761581421,0.8266666531562805
30,30,1.0,0.06592397391796112,,,
31,31,,,0.8374999761581421,0.8374999761581421,0.8266666531562805
31,31,1.0,0.05887674167752266,,,
32,32,,,0.8374999761581421,0.8374999761581421,0.8266666531562805
32,32,1.0,0.05701076239347458,,,
33,33,,,0.8374999761581421,0.8374999761581421,0.8266666531562805
33,33,1.0,0.05224044993519783,,,
34,34,,,0.8374999761581421,0.8374999761581421,0.8266666531562805
34,34,1.0,0.04925975948572159,,,
35,35,,,0.8374999761581421,0.8374999761581421,0.8266666531562805
35,35,1.0,0.0451657809317112,,,
36,36,,,0.8374999761581421,0.8374999761581421,0.8266666531562805
36,36,1.0,0.042305655777454376,,,
37,37,,,0.8374999761581421,0.8374999761581421,0.8266666531562805
37,37,1.0,0.040378838777542114,,,
38,38,,,0.8374999761581421,0.8374999761581421,0.8266666531562805
38,38,1.0,0.03709740936756134,,,
39,39,,,0.8374999761581421,0.8374999761581421,0.8266666531562805
39,39,1.0,0.03677681088447571,,,
40,40,,,0.8374999761581421,0.8374999761581421,0.8266666531562805
40,40,1.0,0.03482712432742119,,,
41,41,,,0.8374999761581421,0.8374999761581421,0.8266666531562805
41,41,1.0,0.034247029572725296,,,
