epoch,step,train_acc,train_loss,val_AA,val_OA,val_kappa,val_loss
0,0,,,0.06479647010564804,0.13072362542152405,0.006363362073898315,2.683137893676758
0,0,0.04374999925494194,2.8238890171051025,,,,
1,1,,,0.10283330827951431,0.2108544558286667,0.09388746321201324,2.6190614700317383
1,1,0.2750000059604645,2.528287172317505,,,,
2,2,,,0.2006993442773819,0.273303359746933,0.1657114326953888,2.562645435333252
2,2,0.3687500059604645,2.337114095687866,,,,
3,3,,,0.2709452211856842,0.3135731816291809,0.21533982455730438,2.5067193508148193
3,3,0.4625000059604645,2.193418025970459,,,,
4,4,,,0.34262150526046753,0.35721585154533386,0.26879870891571045,2.4466395378112793
4,4,0.53125,2.0744099617004395,,,,
5,5,,,0.3907041549682617,0.38011038303375244,0.296938955783844,2.385517120361328
5,5,0.643750011920929,1.9575698375701904,,,,
6,6,,,0.46462109684944153,0.4110793173313141,0.333805114030838,2.323805809020996
6,6,0.668749988079071,1.8637259006500244,,,,
7,7,,,0.5470200181007385,0.45349550247192383,0.38515180349349976,2.2641124725341797
7,7,0.6875,1.7899835109710693,,,,
8,8,,,0.619725227355957,0.4850776791572571,0.42303064465522766,2.201775074005127
8,8,0.7125000357627869,1.7174533605575562,,,,
9,9,,,0.6875518560409546,0.5253475308418274,0.47116249799728394,2.143273115158081
9,9,0.78125,1.6421005725860596,,,,
10,10,,,0.7311879992485046,0.5600981116294861,0.5103169679641724,2.080076217651367
10,10,0.7750000357627869,1.616148591041565,,,,
11,11,,,0.7623501420021057,0.5912714600563049,0.5443706512451172,2.0136358737945557
11,11,0.8374999761581421,1.512349247932434,,,,
12,12,,,0.7784266471862793,0.6167211532592773,0.5716496706008911,1.9428914785385132
12,12,0.831250011920929,1.4338570833206177,,,,
13,13,,,0.7877626419067383,0.6284750699996948,0.5840502381324768,1.8709285259246826
13,13,0.887499988079071,1.380568265914917,,,,
14,14,,,0.7911491394042969,0.6428863406181335,0.5993133783340454,1.8032965660095215
14,14,0.875,1.320475697517395,,,,
15,15,,,0.7933529615402222,0.6467702388763428,0.6034048795700073,1.7387901544570923
15,15,0.918749988079071,1.237241268157959,,,,
16,16,,,0.8014902472496033,0.6612837314605713,0.619326651096344,1.6766138076782227
16,16,0.8812500238418579,1.23940110206604,,,,
17,17,,,0.8094493746757507,0.6761038303375244,0.6355292797088623,1.6174290180206299
17,17,0.8999999761581421,1.1709074974060059,,,,
18,18,,,0.8235448002815247,0.6996116042137146,0.6615251302719116,1.5597254037857056
18,18,0.8812500238418579,1.1110581159591675,,,,
19,19,,,0.8343766331672668,0.7127963900566101,0.6763880848884583,1.5036702156066895
19,19,0.893750011920929,1.089809536933899,,,,
20,20,,,0.8428356051445007,0.7219951152801514,0.686978816986084,1.4518098831176758
20,20,0.893750011920929,1.0395435094833374,,,,
21,21,,,0.8505918979644775,0.7337489724159241,0.6999688148498535,1.4016321897506714
21,21,0.90625,1.006412386894226,,,,
22,22,,,0.8603394627571106,0.7581766247749329,0.7265164852142334,1.3495845794677734
22,22,0.925000011920929,0.943520724773407,,,,
23,23,,,0.8663372993469238,0.77360999584198,0.7432785034179688,1.299483299255371
23,23,0.9125000238418579,0.9456042051315308,,,,
24,24,,,0.8724484443664551,0.7821954488754272,0.7528039216995239,1.2573647499084473
24,24,0.9125000238418579,0.9224387407302856,,,,
25,25,,,0.8759799003601074,0.7848528027534485,0.7557942271232605,1.2214587926864624
25,25,0.949999988079071,0.8570749163627625,,,,
26,26,,,0.8782640099525452,0.7964022755622864,0.768193244934082,1.185610294342041
26,26,0.9437500238418579,0.8413079977035522,,,,
27,27,,,0.879767894744873,0.8056010007858276,0.777832567691803,1.1479456424713135
27,27,0.9312499761581421,0.8235703706741333,,,,
28,28,,,0.8806029558181763,0.8135731816291809,0.7860256433486938,1.11299467086792
28,28,0.956250011920929,0.7742908596992493,,,,
29,29,,,0.8823997974395752,0.8174570798873901,0.7900475263595581,1.076747179031372
29,29,0.949999988079071,0.7485600709915161,,,,
30,30,,,0.8826432228088379,0.817661464214325,0.7899662852287292,1.0451815128326416
30,30,0.9624999761581421,0.7226245403289795,,,,
31,31,,,0.8846446871757507,0.818990170955658,0.7915302515029907,1.0192008018493652
31,31,0.96875,0.695091724395752,,,,
32,32,,,0.8862353563308716,0.8188880085945129,0.791619062423706,1.0045576095581055
32,32,0.9624999761581421,0.6852566003799438,,,,
33,33,,,0.8840027451515198,0.8119378685951233,0.7836083173751831,0.9991292357444763
33,33,0.9624999761581421,0.6702199578285217,,,,
34,34,,,0.8828747272491455,0.8056010007858276,0.7764086127281189,0.9973104596138
34,34,0.9437500238418579,0.6485175490379333,,,,
35,35,,,0.8910167813301086,0.8147996664047241,0.7875655293464661,0.9881007075309753
35,35,0.981249988079071,0.6250758171081543,,,,
36,36,,,0.8973070383071899,0.8251226544380188,0.7997952103614807,0.9746204018592834
36,36,0.987500011920929,0.6043340563774109,,,,
37,37,,,0.9004217386245728,0.8300285935401917,0.8056397438049316,0.9614966511726379
37,37,0.9624999761581421,0.6111614108085632,,,,
38,38,,,0.9024485945701599,0.8308462500572205,0.8067699670791626,0.9555986523628235
38,38,0.9624999761581421,0.5897073745727539,,,,
39,39,,,0.9024583697319031,0.830335259437561,0.8066370487213135,0.9552260041236877
39,39,0.981249988079071,0.5535085797309875,,,,
40,40,,,0.9048698544502258,0.8322771787643433,0.8093476891517639,0.956569254398346
40,40,0.981249988079071,0.5443599224090576,,,,
41,41,,,0.903657078742981,0.8268601894378662,0.8033059239387512,0.9566109776496887
41,41,0.987500011920929,0.5402826070785522,,,,
42,42,,,0.9015809893608093,0.822260856628418,0.7978212237358093,0.9525594115257263
42,42,0.987500011920929,0.5381810069084167,,,,
43,43,,,0.9020459651947021,0.8246116042137146,0.8003242611885071,0.939864456653595
43,43,0.9937499761581421,0.5054287314414978,,,,
44,44,,,0.9032158255577087,0.8296197652816772,0.8058820366859436,0.9210098385810852
44,44,0.987500011920929,0.49677786231040955,,,,
45,45,,,0.9062875509262085,0.8401471972465515,0.8181970119476318,0.9002150893211365
45,45,1.0,0.4990374445915222,,,,
46,46,,,0.9051252603530884,0.8409648537635803,0.8193909525871277,0.8887272477149963
46,46,0.9937499761581421,0.49416056275367737,,,,
47,47,,,0.9035030007362366,0.8347301483154297,0.8126429915428162,0.8893189430236816
47,47,0.987500011920929,0.5032998323440552,,,,
48,48,,,0.902784526348114,0.8246116042137146,0.8015466332435608,0.894949197769165
48,48,0.9937499761581421,0.48871225118637085,,,,
49,49,,,0.9051360487937927,0.8311529159545898,0.808652937412262,0.8822085857391357
49,49,0.9937499761581421,0.47304749488830566,,,,
50,50,,,0.9090785384178162,0.8409648537635803,0.819218635559082,0.8642935752868652
50,50,0.9937499761581421,0.46069222688674927,,,,
51,51,,,0.9072280526161194,0.8381029963493347,0.8154039978981018,0.8614558577537537
51,51,0.981249988079071,0.48118501901626587,,,,
52,52,,,0.9021395444869995,0.8307440876960754,0.8066750764846802,0.8692703247070312
