epoch,step,train_acc,train_loss,val_AA,val_OA,val_kappa
0,0,,,0.25,0.25,0.20000000298023224
0,0,0.07500000298023224,2.863196611404419,,,
1,1,,,0.42500001192092896,0.42500001192092896,0.3866666555404663
1,1,0.29375001788139343,2.321906328201294,,,
2,2,,,0.512499988079071,0.512499988079071,0.47999998927116394
2,2,0.699999988079071,1.9047456979751587,,,
3,3,,,0.5249999761581421,0.5249999761581421,0.4933333396911621
3,3,0.8687499761581421,1.6429134607315063,,,
4,4,,,0.5625,0.5625,0.5333333611488342
4,4,0.90625,1.4439647197723389,,,
5,5,,,0.5874999761581421,0.5874999761581421,0.5600000023841858
5,5,0.96875,1.2725661993026733,,,
6,6,,,0.612500011920929,0.612500011920929,0.5866666436195374
6,6,0.981249988079071,1.119110345840454,,,
7,7,,,0.6499999761581421,0.6499999761581421,0.6266666650772095
7,7,1.0,0.9849401712417603,,,
8,8,,,0.6875,0.6875,0.6666666865348816
8,8,1.0,0.876717746257782,,,
9,9,,,0.7124999761581421,0.7124999761581421,0.6933333277702332
9,9,1.0,0.7624480128288269,,,
10,10,,,0.75,0.75,0.7333333492279053
10,10,1.0,0.6785395741462708,,,
11,11,,,0.75,0.75,0.7333333492279053
11,11,1.0,0.5833526253700256,,,
12,12,,,0.75,0.75,0.7333333492279053
12,12,1.0,0.5124174952507019,,,
13,13,,,0.762499988079071,0.762499988079071,0.746666669845581
13,13,1.0,0.4516529440879822,,,
14,14,,,0.75,0.75,0.7333333492279053
14,14,1.0,0.38250741362571716,,,
15,15,,,0.75,0.75,0.7333333492279053
15,15,1.0,0.3390583395957947,,,
16,16,,,0.7749999761581421,0.7749999761581421,0.7599999904632568
16,16,1.0,0.2880929410457611,,,
17,17,,,0.762499988079071,0.762499988079071,0.746666669845581
17,17,1.0,0.2535310387611389,,,
18,18,,,0.75,0.75,0.7333333492279053
18,18,1.0,0.22087028622627258,,,
19,19,,,0.75,0.75,0.7333333492279053
19,19,1.0,0.19418661296367645,,,
20,20,,,0.762499988079071,0.762499988079071,0.746666669845581
20,20,1.0,0.16800084710121155,,,
21,21,,,0.7749999761581421,0.7749999761581421,0.7599999904632568
21,21,1.0,0.15422169864177704,,,
22,22,,,0.7749999761581421,0.7749999761581421,0.7599999904632568
22,22,1.0,0.13522541522979736,,,
23,23,,,0.7875000238418579,0.7875000238418579,0.7733333110809326
23,23,1.0,0.12199170887470245,,,
24,24,,,0.800000011920929,0.800000011920929,0.7866666913032532
24,24,1.0,0.10567827522754669,,,
25,25,,,0.800000011920929,0.800000011920929,0.7866666913032532
25,25,1.0,0.0916520357131958,,,
26,26,,,0.8125,0.8125,0.800000011920929
26,26,1.0,0.08573700487613678,,,
27,27,,,0.8125,0.8125,0.800000011920929
27,27,1.0,0.07969054579734802,,,
28,28,,,0.8125,0.8125,0.800000011920929
28,28,1.0,0.07126613706350327,,,
29,29,,,0.8125,0.8125,0.800000011920929
29,29,1.0,0.06734001636505127,,,
30,30,,,0.8125,0.8125,0.800000011920929
30,30,1.0,0.06375940144062042,,,
31,31,,,0.8125,0.8125,0.800000011920929
31,31,1.0,0.0599251389503479,,,
32,32,,,0.8125,0.8125,0.800000011920929
32,32,1.0,0.053245317190885544,,,
33,33,,,0.8125,0.8125,0.800000011920929
33,33,1.0,0.05081881210207939,,,
34,34,,,0.8125,0.8125,0.800000011920929
34,34,1.0,0.047675758600234985,,,
35,35,,,0.8125,0.8125,0.800000011920929
35,35,1.0,0.04477151483297348,,,
36,36,,,0.8125,0.8125,0.800000011920929
36,36,1.0,0.041171979159116745,,,
37,37,,,0.8125,0.8125,0.800000011920929
37,37,1.0,0.038511745631694794,,,
38,38,,,0.8125,0.8125,0.800000011920929
38,38,1.0,0.03815840929746628,,,
39,39,,,0.8125,0.8125,0.800000011920929
39,39,1.0,0.035680800676345825,,,
40,40,,,0.8125,0.8125,0.800000011920929
40,40,1.0,0.034080952405929565,,,
41,41,,,0.8125,0.8125,0.800000011920929
41,41,1.0,0.03339660167694092,,,
42,42,,,0.8125,0.8125,0.800000011920929
42,42,1.0,0.03288720175623894,,,
43,43,,,0.8125,0.8125,0.800000011920929
43,43,1.0,0.02961919829249382,,,
44,44,,,0.8125,0.8125,0.800000011920929
44,44,1.0,0.02988390251994133,,,
45,45,,,0.8125,0.8125,0.800000011920929
45,45,1.0,0.02927248179912567,,,
46,46,,,0.8125,0.8125,0.800000011920929
46,46,1.0,0.02769051119685173,,,
