epoch,step,train_acc,train_loss,val_AA,val_OA,val_kappa
0,0,,,0.36250001192092896,0.36250001192092896,0.3199999928474426
0,0,0.08125000447034836,2.794992685317993,,,
1,1,,,0.44999998807907104,0.44999998807907104,0.41333332657814026
1,1,0.4375,2.2641730308532715,,,
2,2,,,0.48750001192092896,0.48750001192092896,0.4533333480358124
2,2,0.6812500357627869,1.988279938697815,,,
3,3,,,0.4749999940395355,0.4749999940395355,0.4399999976158142
3,3,0.7875000238418579,1.7517009973526,,,
4,4,,,0.5,0.5,0.46666666865348816
4,4,0.731249988079071,1.72591233253479,,,
5,5,,,0.550000011920929,0.550000011920929,0.5199999809265137
5,5,0.862500011920929,1.5577753782272339,,,
6,6,,,0.574999988079071,0.574999988079071,0.54666668176651
6,6,0.875,1.429524302482605,,,
7,7,,,0.612500011920929,0.612500011920929,0.5866666436195374
7,7,0.918749988079071,1.379490852355957,,,
8,8,,,0.6499999761581421,0.6499999761581421,0.6266666650772095
8,8,0.9125000238418579,1.2846970558166504,,,
9,9,,,0.699999988079071,0.699999988079071,0.6800000071525574
9,9,0.9125000238418579,1.2019569873809814,,,
10,10,,,0.699999988079071,0.699999988079071,0.6800000071525574
10,10,0.9375,1.1328073740005493,,,
11,11,,,0.7124999761581421,0.7124999761581421,0.6933333277702332
11,11,0.9750000238418579,1.0161359310150146,,,
12,12,,,0.7124999761581421,0.7124999761581421,0.6933333277702332
12,12,0.9312499761581421,1.0181809663772583,,,
13,13,,,0.762499988079071,0.762499988079071,0.746666669845581
13,13,0.9437500238418579,0.9900184869766235,,,
14,14,,,0.7749999761581421,0.7749999761581421,0.7599999904632568
14,14,0.9624999761581421,0.9097176790237427,,,
15,15,,,0.7749999761581421,0.7749999761581421,0.7599999904632568
15,15,0.96875,0.8826195001602173,,,
16,16,,,0.7749999761581421,0.7749999761581421,0.7599999904632568
16,16,0.956250011920929,0.8499897122383118,,,
17,17,,,0.800000011920929,0.800000011920929,0.7866666913032532
17,17,0.96875,0.8099980354309082,,,
18,18,,,0.8125,0.8125,0.800000011920929
18,18,0.9624999761581421,0.7913230657577515,,,
19,19,,,0.8125,0.8125,0.800000011920929
19,19,0.987500011920929,0.7225418090820312,,,
20,20,,,0.8125,0.8125,0.800000011920929
20,20,0.96875,0.7292429804801941,,,
21,21,,,0.8125,0.8125,0.800000011920929
21,21,1.0,0.6879132986068726,,,
22,22,,,0.8125,0.8125,0.800000011920929
22,22,0.9937499761581421,0.7160789966583252,,,
23,23,,,0.8125,0.8125,0.800000011920929
23,23,1.0,0.6483270525932312,,,
24,24,,,0.800000011920929,0.800000011920929,0.7866666913032532
24,24,1.0,0.6821799278259277,,,
25,25,,,0.800000011920929,0.800000011920929,0.7866666913032532
25,25,0.9937499761581421,0.6553069949150085,,,
26,26,,,0.800000011920929,0.800000011920929,0.7866666913032532
26,26,1.0,0.6450976133346558,,,
27,27,,,0.8125,0.8125,0.800000011920929
27,27,1.0,0.616687536239624,,,
28,28,,,0.824999988079071,0.824999988079071,0.8133333325386047
28,28,1.0,0.6202641725540161,,,
29,29,,,0.824999988079071,0.824999988079071,0.8133333325386047
29,29,1.0,0.6267091631889343,,,
30,30,,,0.824999988079071,0.824999988079071,0.8133333325386047
30,30,1.0,0.6112759113311768,,,
31,31,,,0.8125,0.8125,0.800000011920929
31,31,0.9937499761581421,0.625379741191864,,,
32,32,,,0.8125,0.8125,0.800000011920929
32,32,1.0,0.6046135425567627,,,
33,33,,,0.8125,0.8125,0.800000011920929
33,33,1.0,0.6052125096321106,,,
34,34,,,0.8125,0.8125,0.800000011920929
34,34,1.0,0.6017136573791504,,,
35,35,,,0.8125,0.8125,0.800000011920929
35,35,1.0,0.6015061736106873,,,
36,36,,,0.8125,0.8125,0.800000011920929
36,36,1.0,0.6044434309005737,,,
37,37,,,0.8125,0.8125,0.800000011920929
37,37,1.0,0.5977692604064941,,,
38,38,,,0.8125,0.8125,0.800000011920929
38,38,1.0,0.5972141027450562,,,
39,39,,,0.8374999761581421,0.8374999761581421,0.8266666531562805
